what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1523017834455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1523017835345
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1523017839236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017841549
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1523017873175
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1523017873190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017874331
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1523017876362
error,log,,,"Unable to validate connection settings.",1523017904824
error,log,,,"Unable to validate connection settings.",1523017904840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017904902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017907282
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1523017911970
started,bundle,com.altera.debug.cdi.gdb.plugin,13.13.0.132,"com.altera.debug.cdi.gdb.plugin",1523017928545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017929202
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017929561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017932264
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017947040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523017948103
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523018007677
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523018008849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523018132441
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1523018133988
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523018141265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523018151703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523018172464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523018313116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1523018459000
