what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522891010610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1522891072221
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522891086669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1522891089919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522891095539
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522891111303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891115538
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891118834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891123346
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891215679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1522891219039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891219461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891539001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891540532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891541782
opened,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1522891546008
activated,editor,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.editor",1522891546399
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522891693119
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1522891702228
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1522891708659
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891720260
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891736151
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1522891750581
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1522891753769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1522891777191
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1522891777472
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1522891782112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891791132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1522891819301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1522891819441
